model_name,test_101_accuracy,test_101_top5_accuracy,test_101_log_loss,test_101_cross_entropy_loss,test_101_uncertainty_rejection_auc,test_101_f1_score,test_101_recall,test_101_cvar_risk,test_101_roc_auc,test_101_entropy,test_101_precision,test_10c1_accuracy,test_10c1_top5_accuracy,test_10c1_log_loss,test_10c1_cross_entropy_loss,test_10c1_uncertainty_rejection_auc,test_10c1_f1_score,test_10c1_recall,test_10c1_cvar_risk,test_10c1_roc_auc,test_10c1_entropy,test_10c1_precision,test_10c2_accuracy,test_10c2_top5_accuracy,test_10c2_log_loss,test_10c2_cross_entropy_loss,test_10c2_uncertainty_rejection_auc,test_10c2_f1_score,test_10c2_recall,test_10c2_cvar_risk,test_10c2_roc_auc,test_10c2_entropy,test_10c2_precision,test_10c3_accuracy,test_10c3_top5_accuracy,test_10c3_log_loss,test_10c3_cross_entropy_loss,test_10c3_uncertainty_rejection_auc,test_10c3_f1_score,test_10c3_recall,test_10c3_cvar_risk,test_10c3_roc_auc,test_10c3_entropy,test_10c3_precision,test_10c4_accuracy,test_10c4_top5_accuracy,test_10c4_log_loss,test_10c4_cross_entropy_loss,test_10c4_uncertainty_rejection_auc,test_10c4_f1_score,test_10c4_recall,test_10c4_cvar_risk,test_10c4_roc_auc,test_10c4_entropy,test_10c4_precision,test_10c5_accuracy,test_10c5_top5_accuracy,test_10c5_log_loss,test_10c5_cross_entropy_loss,test_10c5_uncertainty_rejection_auc,test_10c5_f1_score,test_10c5_recall,test_10c5_cvar_risk,test_10c5_roc_auc,test_10c5_entropy,test_10c5_precision,fgsm_accuracy,fgsm_top5_accuracy,fgsm_log_loss,fgsm_cross_entropy_loss,fgsm_uncertainty_rejection_auc,fgsm_f1_score,fgsm_recall,fgsm_cvar_risk,fgsm_roc_auc,fgsm_entropy,fgsm_precision,pgd_accuracy,pgd_top5_accuracy,pgd_log_loss,pgd_cross_entropy_loss,pgd_uncertainty_rejection_auc,pgd_f1_score,pgd_recall,pgd_cvar_risk,pgd_roc_auc,pgd_entropy,pgd_precision,cw_accuracy,cw_top5_accuracy,cw_log_loss,cw_cross_entropy_loss,cw_uncertainty_rejection_auc,cw_f1_score,cw_recall,cw_cvar_risk,cw_roc_auc,cw_entropy,cw_precision,deepfool_accuracy,deepfool_top5_accuracy,deepfool_log_loss,deepfool_cross_entropy_loss,deepfool_uncertainty_rejection_auc,deepfool_f1_score,deepfool_recall,deepfool_cvar_risk,deepfool_roc_auc,deepfool_entropy,deepfool_precision,bim_accuracy,bim_top5_accuracy,bim_log_loss,bim_cross_entropy_loss,bim_uncertainty_rejection_auc,bim_f1_score,bim_recall,bim_cvar_risk,bim_roc_auc,bim_entropy,bim_precision
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_adam,0.509,0.9035,2.427817866812122,2.4337072,0.3207192327634021,0.5082684456263724,0.5090000000000001,2.5618243,0.8725368055555556,0.49368984,0.5134271496604984,0.6108333333333333,0.9518333333333333,1.6741293348294997,1.6792086,0.19517278603276872,0.6115771881877754,0.6108333333333333,1.768024,0.9222641358024692,0.43461332,0.6183875313967405,0.5868333333333333,0.9435,1.8269997318391409,1.8312882,0.22499375590971105,0.5888407563330548,0.5868333333333333,1.9278365,0.9097069135802469,0.4750773,0.6025933387498537,0.5541666666666667,0.9301666666666667,1.995496181481139,2.0009081,0.2597037371425433,0.5569782930946957,0.5541666666666666,2.1063092,0.8991396450617284,0.503778,0.5760859248215306,0.5228333333333334,0.9166666666666666,2.2029235999155463,2.2084813,0.2850448896572611,0.5261841842623997,0.5228333333333334,2.3248205,0.8855346296296295,0.52615976,0.5497646012006576,0.48033333333333333,0.8873333333333333,2.4897969834844336,2.5006316,0.3306738818482124,0.48476423790178647,0.4803333333333334,2.6325428,0.8642087808641975,0.5742725,0.5154371724018905,0.2525,0.8538333333333333,5.018846352038227,5.091632,0.7320839390611666,0.25626630491391833,0.25250000000000006,5.367534,0.7571555401234568,0.3618431,0.26182968287873704,0.5296666666666666,0.9398333333333333,2.22355767805549,2.2336452,0.286602252912871,0.528803638420234,0.5296666666666667,2.3520257,0.8952697839506172,0.3993864,0.5303080773726043,0.14716666666666667,0.9608333333333333,1.9626921625282032,1.9681752,0.5838740854340123,0.1536898580135664,0.14716666666666667,2.0721333,0.8736537962962962,0.668585,0.16250148356620486,0.03183333333333333,0.9608333333333333,1.9823876706669243,1.9878705,0.9763229225984795,0.03282892378364977,0.03183333333333333,2.0563726,0.862471388888889,0.75560963,0.034538808242051494,0.531,0.9395,2.217400625184902,2.2274485,0.28550850374580566,0.5300703359434638,0.531,2.3454845,0.8956393209876543,0.39901295,0.5314639649015775
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_adam,0.489,0.911,1.813277122106596,1.8132771,0.3355283669724103,0.48555706543722393,0.48900000000000005,1.9085797,0.8712177777777776,0.79213935,0.49273048053387064,0.5823333333333334,0.946,1.3875256258018083,1.3875256,0.22285838645043088,0.5788034583994066,0.5823333333333334,1.4605088,0.9142592283950617,0.70797724,0.5852034635178238,0.536,0.9251666666666667,1.60729687799709,1.6072968,0.2697968145872875,0.5323412731601429,0.536,1.6918192,0.8940491975308642,0.7507072,0.5476582279556801,0.49583333333333335,0.9156666666666666,1.7597410643174463,1.7601774,0.31678544139738046,0.4932707574388332,0.4958333333333334,1.8527277,0.8793830555555557,0.777948,0.5147241017462192,0.46116666666666667,0.894,2.024029511251889,2.0240293,0.37323849855471053,0.45941902048632144,0.4611666666666667,2.1304526,0.8547988734567902,0.7901803,0.48574213694002416,0.42183333333333334,0.8648333333333333,2.2937797600960166,2.2939827,0.4230136976824126,0.41856633740071986,0.4218333333333334,2.4145722,0.8284235493827161,0.82337224,0.45341380178681856,0.14383333333333334,0.7766666666666666,4.5035361829018274,4.504679,0.8765748401031987,0.14320583717913501,0.1438333333333333,4.7392087,0.682311975308642,0.5800431,0.14356698378765775,0.4745,0.931,1.835317480283121,1.8353174,0.35435054272196825,0.4691002138357341,0.47450000000000003,1.9318353,0.8773637808641975,0.6818765,0.4687295573925878,0.04816666666666667,0.9575,1.6280786429250398,1.6280788,0.8089371357066286,0.05025385944827163,0.04816666666666667,1.7120763,0.8622816666666667,0.9428951,0.053847387562178176,0.034166666666666665,0.9575,1.5754342249225692,1.5754342,0.9674436227420579,0.03417031861811047,0.034166666666666665,1.6217914,0.8715533179012345,0.97176373,0.03496438613761196,0.4765,0.932,1.8240755664195958,1.8240756,0.3513365490143393,0.47130773083657934,0.4765,1.9200029,0.8783837345679013,0.68104005,0.47104468760139995
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_adam,0.479,0.911,2.9437261274176802,2.9817066,0.32992792221550526,0.48157406156207416,0.479,3.1437275,0.8714948611111112,0.3885863,0.4922620366684275,0.622,0.9563333333333334,1.917507440837982,1.9294873,0.1880582915490175,0.6237394706446503,0.622,2.0307198,0.9254198611111111,0.3337249,0.6310024546816317,0.5851666666666666,0.945,2.14606131041536,2.1596923,0.22827449502166453,0.5880297902070222,0.5851666666666667,2.2737713,0.9120095061728394,0.36731517,0.6018977226159645,0.5526666666666666,0.9358333333333333,2.4093592905801446,2.4305682,0.2616534067115639,0.5565723267362619,0.5526666666666666,2.5593164,0.8991710956790122,0.3818081,0.5779754022005272,0.5076666666666667,0.9135,2.765736135179359,2.799917,0.30585912386420766,0.5116874011206198,0.5076666666666666,2.9501166,0.8805390123456789,0.40123528,0.5391033174876666,0.4723333333333333,0.8896666666666667,3.1727136986774602,3.240279,0.3517688752638738,0.47642746679144493,0.4723333333333334,3.4181504,0.8575900771604938,0.42713004,0.5145441463758784,0.23566666666666666,0.861,6.122042516780707,6.3662863,0.7534488902997638,0.24181683843982116,0.23566666666666664,6.7419086,0.7601416049382717,0.2555689,0.2550138820623251,0.5428333333333333,0.9466666666666667,2.591050112365215,2.6208885,0.28799655682124126,0.5442171886736735,0.5428333333333333,2.760069,0.8991217129629631,0.29774228,0.5502022859874517,0.14116666666666666,0.9631666666666666,2.207048863525446,2.2205129,0.5957627289386536,0.1468429919646181,0.14116666666666666,2.334763,0.8741175925925926,0.60158736,0.159878332427063,0.029,0.9631666666666666,2.188053584966948,2.2015176,0.9797795313257154,0.030032249861778205,0.029000000000000005,2.281559,0.8640321450617284,0.67889977,0.03290067532780612,0.5436666666666666,0.947,2.581449777763597,2.611042,0.2863371661962434,0.5450413419043347,0.5436666666666667,2.7496996,0.8995814660493826,0.29710066,0.5510461992822988
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_adam,0.524,0.928,1.5082669854537871,1.5082669,0.2783083611535674,0.521327000174167,0.524,1.5875045,0.8939794444444444,0.8655177,0.5318466957324616,0.621,0.9603333333333334,1.1418431594611016,1.1418432,0.18107208822035115,0.6198025466030295,0.621,1.2018839,0.9307840740740743,0.7879248,0.6313863042073525,0.5858333333333333,0.9451666666666667,1.2752975064664052,1.2752975,0.2144926417349457,0.5871368262311346,0.5858333333333333,1.3423378,0.9180246604938272,0.8404349,0.6054232393173177,0.5555,0.9373333333333334,1.3839375762294495,1.3839375,0.24682833452668035,0.5577465386872578,0.5555,1.4566725,0.908332314814815,0.8712708,0.5816354131714866,0.5336666666666666,0.9205,1.5206556903127706,1.5206556,0.2733726322414167,0.5359000738354943,0.5336666666666666,1.6005667,0.8938132716049383,0.897829,0.559547936261051,0.4851666666666667,0.8966666666666666,1.73932403040269,1.7393239,0.3175144049742239,0.48920767719726477,0.48516666666666663,1.8306785,0.8719952469135803,0.93593633,0.5185661901420878,0.2775,0.8731666666666666,2.8115419228112635,2.8127334,0.6634510768567388,0.27545264783080425,0.27749999999999997,2.9600337,0.77911,0.77204573,0.27813277426468447,0.5451666666666667,0.9481666666666667,1.4039934374135385,1.4039934,0.25389976022622507,0.5407476018811774,0.5451666666666666,1.4778267,0.9065290740740741,0.7669998,0.546001090989524,0.15033333333333335,0.9638333333333333,1.3799674258934371,1.3799675,0.5748775493684439,0.15280187252528235,0.15033333333333335,1.4525689,0.891429598765432,0.9568161,0.15913981314758868,0.03183333333333333,0.9638333333333333,1.4434600261232535,1.44346,0.9656324692293382,0.03249541968881096,0.03183333333333334,1.4828658,0.8777404783950618,1.0579305,0.034114365446507505,0.5458333333333333,0.949,1.3995714793170972,1.3995714,0.25275393250855244,0.5412761459405498,0.5458333333333333,1.4731727,0.9069633024691358,0.76636297,0.5464010085299369
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_adam,0.497,0.9275,1.4814733126607174,1.4814734,0.3271444660089583,0.49368690837051377,0.49700000000000005,1.5585939,0.8841761111111112,1.045185,0.49795923294693567,0.6246666666666667,0.9636666666666667,1.063098117296491,1.0630982,0.1812465267341264,0.6226416761974264,0.6246666666666667,1.1185988,0.9331164814814816,0.9457281,0.6231681526763213,0.5938333333333333,0.957,1.174506096142175,1.1745061,0.21479679862227197,0.59276250308478,0.5938333333333333,1.2357453,0.9204839197530866,0.9899889,0.5967148357776204,0.5646666666666667,0.9461666666666667,1.2695601473072637,1.2695601,0.2434709341581423,0.5644745910770513,0.5646666666666668,1.3357197,0.9096720679012344,1.0202943,0.5702417647673863,0.5283333333333333,0.9301666666666667,1.393743096678065,1.3937432,0.28121522703719526,0.5283800392485521,0.5283333333333333,1.4663185,0.8950081635802467,1.0459529,0.535351875898344,0.49316666666666664,0.9036666666666666,1.559737946873609,1.5597379,0.3179628501157764,0.4938981975706797,0.49316666666666664,1.6408644,0.873786913580247,1.0819129,0.5064413342169269,0.22216666666666668,0.8418333333333333,2.7346283787748216,2.7346282,0.7532255533950185,0.21901411883297714,0.22216666666666668,2.875122,0.7502779012345677,0.9281434,0.2182173223360901,0.5261666666666667,0.9493333333333334,1.3406000383145356,1.3406001,0.278329268519361,0.5214989938749552,0.5261666666666667,1.4106057,0.9036970061728395,0.9368489,0.5207082313221193,0.098,0.9686666666666667,1.3403125471374049,1.3403125,0.6820013724904789,0.10000172072276836,0.098,1.4104733,0.8892778086419753,1.112118,0.1055630163097198,0.029666666666666668,0.9685,1.3789876794522564,1.3789877,0.9677587938236114,0.029466426455672046,0.029666666666666668,1.4147476,0.8828684259259261,1.1922356,0.030007265737132933,0.5276666666666666,0.949,1.335943605710154,1.3359436,0.2768399699380121,0.5230228699799829,0.5276666666666666,1.4057076,0.9042109567901235,0.93626386,0.5222321302485211
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_adam,0.523,0.941,1.3871264443980367,1.3871264,0.29812596788811774,0.5193725290662641,0.523,1.4597266,0.8963133333333333,1.025492,0.5271090818726137,0.6431666666666667,0.9643333333333334,1.0205964998389163,1.0205965,0.16622840040093773,0.6410947225529819,0.6431666666666667,1.0741318,0.9381810493827162,0.9203589,0.6465871990690769,0.6088333333333333,0.952,1.1520749946399433,1.152075,0.20087593300849366,0.6081031776471714,0.6088333333333333,1.2124429,0.924600185185185,0.97894037,0.6184199133320846,0.5723333333333334,0.9408333333333333,1.2561123761123336,1.2561123,0.23193536925187996,0.5738975473759134,0.5723333333333332,1.3219032,0.9143925925925928,1.0127162,0.589126487105926,0.5378333333333334,0.9268333333333333,1.395601369912511,1.3956013,0.26540299782862786,0.540040519580616,0.5378333333333333,1.4686383,0.8975308950617285,1.0444273,0.5585531476600935,0.4886666666666667,0.8983333333333333,1.5948224992834419,1.5948226,0.309499332168393,0.49283453456924403,0.4886666666666666,1.678266,0.8747553549382717,1.0828168,0.5178845402644211,0.3265,0.8941666666666667,2.196165892300198,2.1961658,0.5647254099753124,0.32184526728159285,0.32650000000000007,2.310733,0.805103086419753,0.9394728,0.3203693915218105,0.5798333333333333,0.9571666666666667,1.1875558557681227,1.1875558,0.21861485997750585,0.5749418054534949,0.5798333333333333,1.2498972,0.9197970524691359,0.89467335,0.5761846242777644,0.20116666666666666,0.9708333333333333,1.211921804145538,1.2119219,0.487467465555392,0.20323517837141555,0.20116666666666666,1.2756153,0.9091366049382715,1.024643,0.207896976005157,0.022333333333333334,0.9708333333333333,1.3374857412331025,1.3374857,0.9758115942257011,0.022394814520968566,0.022333333333333334,1.3710617,0.8871910802469136,1.1829085,0.02283086336730106,0.582,0.9568333333333333,1.184283019639582,1.184283,0.21742962753799805,0.5770933248702027,0.5820000000000001,1.2464532,0.9201740432098765,0.89407617,0.5783080401188261
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_sgd,0.479,0.914,1.5025526703338292,1.5025527,0.3354594944517262,0.48348226650104653,0.4789999999999999,1.5802746,0.8769588888888891,1.1319834,0.4989952804211642,0.5903333333333334,0.9513333333333334,1.1685989546189437,1.168599,0.2181457352229167,0.5939963091585041,0.5903333333333334,1.2294269,0.9215321913580246,1.0203732,0.6114151963723397,0.5613333333333334,0.943,1.2678092604103217,1.2678093,0.244967386202469,0.5639936265133829,0.5613333333333334,1.3336815,0.9109903703703702,1.0630944,0.5858387567703465,0.5396666666666666,0.9308333333333333,1.3516420382349614,1.351642,0.26668391603969466,0.5426806500793496,0.5396666666666666,1.4217974,0.9011738117283951,1.0880791,0.5685964989587567,0.5128333333333334,0.9185,1.4516486615529842,1.4516487,0.29899423513919,0.5146299583562215,0.5128333333333333,1.5270127,0.8886148765432098,1.1079869,0.5449698607098483,0.478,0.896,1.5891118453917807,1.5891119,0.3345665837356169,0.4797503435805064,0.47800000000000004,1.6714617,0.8698397067901233,1.1387582,0.5157815669197287,0.25116666666666665,0.8538333333333333,2.4899860011526833,2.489986,0.7107125191272741,0.2562493096574731,0.25116666666666665,2.6173232,0.7593465432098765,1.0123599,0.26961700436037905,0.5233333333333333,0.9428333333333333,1.3581285582497717,1.3581285,0.2941467416664809,0.5266557388826247,0.5233333333333332,1.4288661,0.8976934567901236,1.0073676,0.5394274887142521,0.124,0.9615,1.3592733777076467,1.3592733,0.626183244365254,0.12953006305176656,0.124,1.4303384,0.8889491820987654,1.1265719,0.14342533456512507,0.03266666666666666,0.9615,1.4231743352651622,1.4231743,0.9634606822886072,0.0327297207240248,0.03266666666666667,1.4611719,0.878392700617284,1.2307163,0.03492903234538509,0.5245,0.9431666666666667,1.3551434790039638,1.3551434,0.2931482084351615,0.5277765045581169,0.5245,1.4257277,0.8980823148148147,1.006818,0.54047328505377
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_sgd,0.464,0.9155,1.5094623480815608,1.5094624,0.3656767993661452,0.46268242583678276,0.46399999999999997,1.5870652,0.8695230555555555,1.2558808,0.46390667589447754,0.5716666666666667,0.9465,1.218720414614875,1.2187204,0.23815525114352737,0.5691771117802551,0.5716666666666665,1.2819562,0.9119840123456789,1.1417973,0.5688603130356261,0.532,0.9305,1.3365610846814329,1.3365611,0.27435600326745074,0.5292847240636785,0.5320000000000001,1.405772,0.8959446141975308,1.1895531,0.5306791962889819,0.502,0.9165,1.4344374842368568,1.4344375,0.30462911802590725,0.5003870101843051,0.502,1.508677,0.8816729629629629,1.213396,0.5025383611142424,0.4775,0.9016666666666666,1.546430770453555,1.5464307,0.3387265991631677,0.4753311582816613,0.47750000000000004,1.6264306,0.864744737654321,1.2265688,0.4775291604746559,0.43483333333333335,0.879,1.7087887096959067,1.7087888,0.3852874628054462,0.4327957481671693,0.4348333333333333,1.7970605,0.8384442592592591,1.2599746,0.43819722011805784,0.1335,0.735,3.15148465425112,3.1514847,0.8739501534903449,0.13112062194591012,0.1335,3.3074343,0.6540854166666666,1.0738614,0.1300746643530972,0.456,0.9228333333333333,1.551338308940926,1.5513382,0.3741825076204068,0.4520885702212176,0.45600000000000007,1.6316793,0.8671121759259259,1.1313076,0.45153842442249,0.044333333333333336,0.9561666666666667,1.4605424714819295,1.4605424,0.8209073023680284,0.04475993903831534,0.044333333333333336,1.5315714,0.8711683333333333,1.2901419,0.04624978972312714,0.03166666666666667,0.9561666666666667,1.4446182060657886,1.4446181,0.9623885680408126,0.03155847102112995,0.03166666666666666,1.4835402,0.8753626543209876,1.3327191,0.032109011967324304,0.4583333333333333,0.9236666666666666,1.5419602220636917,1.5419602,0.3710845100241769,0.45448462242615967,0.4583333333333333,1.6218262,0.868503688271605,1.1296899,0.4540044575545365
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_sgd,0.4775,0.9015,1.809618189023803,1.8096181,0.34676337784894307,0.4752292515131291,0.47750000000000004,1.9047602,0.8675616666666667,0.81956434,0.4955233932920759,0.5808333333333333,0.9445,1.3572205927194754,1.3572206,0.23205628275149098,0.5810142771698232,0.5808333333333333,1.428595,0.9129412037037037,0.75564647,0.595453859753006,0.5416666666666666,0.9325,1.4952043928197625,1.4952044,0.2618199951882294,0.5424887160406315,0.5416666666666666,1.5738096,0.8990709259259259,0.7936027,0.5623204089219657,0.5153333333333333,0.919,1.602528924551112,1.6025289,0.2978868763965204,0.5161550405314057,0.5153333333333333,1.6867644,0.887567098765432,0.83192164,0.539704574814136,0.4806666666666667,0.8951666666666667,1.7914627968065158,1.7914629,0.33686184569631256,0.4809245637955099,0.4806666666666667,1.8856109,0.8671116666666666,0.84868,0.5025576213932499,0.43766666666666665,0.8661666666666666,2.0139360861936555,2.013936,0.383848439417253,0.4378427213648317,0.4376666666666667,2.1197433,0.8423225925925927,0.8800205,0.46141288204582065,0.165,0.7943333333333333,4.050862655044137,4.0508614,0.8465695355025183,0.16508707351506552,0.16499999999999998,4.262266,0.6893241049382717,0.6301671,0.17568215028102444,0.4845,0.9278333333333333,1.7568591596418128,1.7568591,0.34622844855951734,0.4829091736797267,0.48450000000000004,1.849243,0.8789213580246914,0.7225903,0.49866927637024483,0.06933333333333333,0.955,1.6147637933451828,1.6147636,0.7493382206639225,0.07012430292268301,0.06933333333333333,1.6996897,0.8645815740740742,0.953099,0.07616380795868626,0.025833333333333333,0.955,1.6013247534503978,1.6013249,0.9747909016454455,0.026760677862139308,0.025833333333333337,1.6489993,0.8665963580246914,1.012012,0.030131595780302178,0.485,0.9283333333333333,1.7509038593185724,1.7509038,0.3449356264322765,0.48340534868020735,0.485,1.8429753,0.8795391049382715,0.72168016,0.49920426786815053
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_sgd,0.506,0.9295,1.4939640724493888,1.493964,0.30206670590811413,0.5028849571024685,0.506,1.5721772,0.8900602777777777,0.92107505,0.5075379007735512,0.6343333333333333,0.963,1.0844916260253956,1.0844917,0.17301248802785812,0.6312065386787449,0.6343333333333332,1.1413835,0.933483148148148,0.8280742,0.6337552080912834,0.5846666666666667,0.95,1.2429694541343004,1.2429695,0.21505741367323436,0.5831148424847763,0.5846666666666667,1.3081414,0.9175703858024692,0.8721282,0.5922357517500506,0.5556666666666666,0.9436666666666667,1.3474260225467325,1.347426,0.2440052842765116,0.5554354419252236,0.5556666666666666,1.4180602,0.9066646296296297,0.90268975,0.5691767262068033,0.5208333333333334,0.925,1.5278360807103766,1.5278361,0.29390038083210346,0.5208349069889596,0.5208333333333333,1.6079232,0.88696512345679,0.92132103,0.5399966181002752,0.4791666666666667,0.8985,1.7453256036675593,1.7453256,0.34284844005568654,0.4789694064061864,0.4791666666666667,1.8367691,0.8632446913580246,0.9518426,0.5045301670838488,0.20933333333333334,0.8341666666666666,3.091243656759256,3.0912435,0.7727281441969553,0.20773238185175846,0.20933333333333332,3.2519617,0.7420912345679012,0.7801299,0.20790570594887794,0.5363333333333333,0.9521666666666667,1.3837846646366028,1.3837847,0.269393895221515,0.5314473241487784,0.5363333333333333,1.4564133,0.90455987654321,0.810255,0.5319076938239533,0.09166666666666666,0.9706666666666667,1.358735289155417,1.3587353,0.6932301472524856,0.09424066907370879,0.09166666666666665,1.4301144,0.8855449845679011,1.0146959,0.09886589662006438,0.02666666666666667,0.9706666666666667,1.38495606034697,1.384956,0.9747680166677629,0.027065167379390142,0.026666666666666665,1.4211168,0.8819840895061729,1.0922563,0.027937511710985973,0.5383333333333333,0.9528333333333333,1.3779674530389605,1.3779675,0.2676835521806422,0.5334764181926882,0.5383333333333333,1.4502918,0.9051667901234566,0.80958194,0.5339512911143592
