model_name,accuracy,top5_accuracy,log_loss,cross_entropy_loss,uncertainty_rejection_auc,f1_score,recall,c_var_risk,roc_auc,entropy,precision
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_adam,0.6408333333333334,0.9608333333333333,1.5746638582773225,1.5801468,0.16829418429229892,0.6398744041908424,0.6408333333333333,1.6636823,0.9312435185185185,0.39285725,0.6404143664305715
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_adam,0.625,0.9575,1.2028832300371946,1.2028831,0.17674083054095083,0.621414020931141,0.625,1.2661675,0.9310683487654321,0.65486974,0.6227770212254865
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_adam,0.661,0.9631666666666666,1.7614629483097368,1.7749268,0.15776243679552845,0.6614262380122592,0.661,1.8667097,0.9365068981481481,0.29316923,0.6655372684807304
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_adam,0.6491666666666667,0.9638333333333333,1.051325195087501,1.0513252,0.153374796900227,0.6461787502641904,0.6491666666666667,1.1066314,0.939782160493827,0.73080647,0.650780248877469
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_adam,0.649,0.9686666666666667,0.993569611605353,0.9935697,0.15867586635467423,0.6469000222775119,0.649,1.0455433,0.9416477160493827,0.8909191,0.6475985879976393
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_adam,0.6686666666666666,0.9708333333333333,0.9347967474646693,0.9347967,0.14054350143622338,0.6654991169423268,0.6686666666666667,0.9839057,0.9470360493827161,0.85199004,0.6679676789614801
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_sgd,0.6235,0.9615,1.083881846874486,1.0838819,0.19012868226147883,0.6268031676551185,0.6235,1.1404742,0.9307793364197531,0.9654988,0.6397481363994589
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_sgd,0.6058333333333333,0.9561666666666667,1.116095626062016,1.1160957,0.20057071499571805,0.6033991469268589,0.6058333333333333,1.1742008,0.9258481481481482,1.0767133,0.6046501106174339
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_sgd,0.6108333333333333,0.955,1.239378441197554,1.2393785,0.19343589784320717,0.6097027167918082,0.6108333333333335,1.3045782,0.9260810802469136,0.6991456,0.6217015322496695
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_sgd,0.6635,0.9706666666666667,0.9787351556922328,0.9787351,0.1440370564369824,0.6602941847889067,0.6635,1.0301458,0.9442549537037037,0.7638431,0.6614529915692258
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_sgd,0.632,0.9661666666666666,1.0479362464449826,1.0479362,0.18054237282954455,0.6294881066003362,0.632,1.1019319,0.934227098765432,1.1262398,0.6314510790714697
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_sgd,0.643,0.9666666666666667,1.0182639651983763,1.0182639,0.16454106495593532,0.642037215954655,0.643,1.071667,0.9396670061728395,0.89037573,0.6482838981628788
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr001_adam,0.6918333333333333,0.9685,1.5691994944890473,1.5807005,0.12728948833235748,0.693500308292365,0.6918333333333333,1.5813079,0.9484168827160493,0.25750947,0.6976539093180012
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr0001_adam,0.6875,0.9703333333333334,1.6229152433430434,1.6320071,0.13057311830034385,0.6860746918068529,0.6875,1.7168525,0.9482280555555557,0.25399745,0.6911786584531818
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lrscheduler_adam,0.676,0.975,1.0422585397779482,1.0422623,0.14145855567232288,0.6787339108581343,0.6759999999999999,1.0971134,0.946749737654321,0.5803925,0.6887772182201009
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr001_adam,0.7193333333333334,0.9736666666666667,1.1555137398846829,1.1585351,0.1037554168338129,0.7190450230808714,0.7193333333333334,1.2184196,0.9563222993827161,0.32580662,0.7198183795969624
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr0001_adam,0.7138333333333333,0.9761666666666666,0.9182898984289186,0.9182897,0.10953790136612548,0.7121958886683785,0.7138333333333333,0.96661615,0.9580455864197532,0.50596136,0.7166438999374993
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lrscheduler_adam,0.7095,0.9765,0.9043882905888894,0.90438825,0.11070158377758213,0.7094601321248156,0.7095,0.9519837,0.9567018827160494,0.5606974,0.714688615939368
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr001_sgd,0.6801666666666667,0.9671666666666666,1.1382350344345087,1.138235,0.13192177020792226,0.6790751748709243,0.6801666666666667,1.1981409,0.9458853858024691,0.4559597,0.6799871068248274
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr0001_sgd,0.6651666666666667,0.9663333333333334,0.9806724728026505,0.98067254,0.15176068176429308,0.6634213185559521,0.6651666666666667,1.0318007,0.9427134722222222,1.0351219,0.6658556650266843
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lrscheduler_sgd,0.6685,0.9655,1.0568689581199298,1.056869,0.1476417174863554,0.6673934507294348,0.6685,1.1124722,0.9420546913580246,0.6739756,0.6783159995914148
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr001_sgd,0.695,0.9671666666666666,0.9961140256576749,0.996114,0.12024477022780802,0.6942292568504294,0.6950000000000001,1.0485351,0.9526666358024691,0.5484377,0.7040924603783887
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr0001_sgd,0.6895,0.9743333333333334,0.8931226876907867,0.89312273,0.12973862964084476,0.6889086773573588,0.6895,0.93995905,0.9512938580246912,0.8656427,0.6888762716968909
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lrscheduler_sgd,0.6958333333333333,0.9761666666666666,1.0042623006139897,1.0042623,0.12282577356884695,0.6956994609912727,0.6958333333333333,1.0571136,0.9538649691358027,0.49306843,0.7062652627826635
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr001_adam,0.6218333333333333,0.9518333333333333,1.1837892612875092,1.1837893,0.18064087363084405,0.6138882533065269,0.6218333333333332,1.2459978,0.9274771296296297,0.736487,0.6182047770664154
