model_name,test_101_accuracy_gap,test_101_top5_accuracy_gap,test_101_log_loss_gap,test_101_cross_entropy_loss_gap,test_101_uncertainty_rejection_auc_gap,test_101_f1_score_gap,test_101_recall_gap,test_101_cvar_risk_gap,test_101_roc_auc_gap,test_101_entropy_gap,test_101_precision_gap,test_10c1_accuracy_gap,test_10c1_top5_accuracy_gap,test_10c1_log_loss_gap,test_10c1_cross_entropy_loss_gap,test_10c1_uncertainty_rejection_auc_gap,test_10c1_f1_score_gap,test_10c1_recall_gap,test_10c1_cvar_risk_gap,test_10c1_roc_auc_gap,test_10c1_entropy_gap,test_10c1_precision_gap,test_10c2_accuracy_gap,test_10c2_top5_accuracy_gap,test_10c2_log_loss_gap,test_10c2_cross_entropy_loss_gap,test_10c2_uncertainty_rejection_auc_gap,test_10c2_f1_score_gap,test_10c2_recall_gap,test_10c2_cvar_risk_gap,test_10c2_roc_auc_gap,test_10c2_entropy_gap,test_10c2_precision_gap,test_10c3_accuracy_gap,test_10c3_top5_accuracy_gap,test_10c3_log_loss_gap,test_10c3_cross_entropy_loss_gap,test_10c3_uncertainty_rejection_auc_gap,test_10c3_f1_score_gap,test_10c3_recall_gap,test_10c3_cvar_risk_gap,test_10c3_roc_auc_gap,test_10c3_entropy_gap,test_10c3_precision_gap,test_10c4_accuracy_gap,test_10c4_top5_accuracy_gap,test_10c4_log_loss_gap,test_10c4_cross_entropy_loss_gap,test_10c4_uncertainty_rejection_auc_gap,test_10c4_f1_score_gap,test_10c4_recall_gap,test_10c4_cvar_risk_gap,test_10c4_roc_auc_gap,test_10c4_entropy_gap,test_10c4_precision_gap,test_10c5_accuracy_gap,test_10c5_top5_accuracy_gap,test_10c5_log_loss_gap,test_10c5_cross_entropy_loss_gap,test_10c5_uncertainty_rejection_auc_gap,test_10c5_f1_score_gap,test_10c5_recall_gap,test_10c5_cvar_risk_gap,test_10c5_roc_auc_gap,test_10c5_entropy_gap,test_10c5_precision_gap,fgsm_accuracy_gap,fgsm_top5_accuracy_gap,fgsm_log_loss_gap,fgsm_cross_entropy_loss_gap,fgsm_uncertainty_rejection_auc_gap,fgsm_f1_score_gap,fgsm_recall_gap,fgsm_cvar_risk_gap,fgsm_roc_auc_gap,fgsm_entropy_gap,fgsm_precision_gap,pgd_accuracy_gap,pgd_top5_accuracy_gap,pgd_log_loss_gap,pgd_cross_entropy_loss_gap,pgd_uncertainty_rejection_auc_gap,pgd_f1_score_gap,pgd_recall_gap,pgd_cvar_risk_gap,pgd_roc_auc_gap,pgd_entropy_gap,pgd_precision_gap,cw_accuracy_gap,cw_top5_accuracy_gap,cw_log_loss_gap,cw_cross_entropy_loss_gap,cw_uncertainty_rejection_auc_gap,cw_f1_score_gap,cw_recall_gap,cw_cvar_risk_gap,cw_roc_auc_gap,cw_entropy_gap,cw_precision_gap,deepfool_accuracy_gap,deepfool_top5_accuracy_gap,deepfool_log_loss_gap,deepfool_cross_entropy_loss_gap,deepfool_uncertainty_rejection_auc_gap,deepfool_f1_score_gap,deepfool_recall_gap,deepfool_cvar_risk_gap,deepfool_roc_auc_gap,deepfool_entropy_gap,deepfool_precision_gap,bim_accuracy_gap,bim_top5_accuracy_gap,bim_log_loss_gap,bim_cross_entropy_loss_gap,bim_uncertainty_rejection_auc_gap,bim_f1_score_gap,bim_recall_gap,bim_cvar_risk_gap,bim_roc_auc_gap,bim_entropy_gap,bim_precision_gap
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_adam,0.13183333333333336,0.05733333333333335,0.8531540085347997,0.85356045,0.15242504847110316,0.13160595856447,0.13183333333333314,0.898142,0.058706712962962926,0.10083258,0.12698721677007307,0.030000000000000027,0.009000000000000008,0.09946547655217719,0.09906185,0.0268786017404698,0.028297216003067005,0.029999999999999916,0.104341626,0.008979382716049256,0.041756064,0.02202683503383096,0.05400000000000005,0.01733333333333331,0.2523358735618184,0.25114143,0.056699571617412126,0.051033647857787634,0.05399999999999994,0.2641542,0.021536604938271586,0.08222005,0.03782102768071782,0.08666666666666667,0.03066666666666662,0.42083232320381647,0.42076135,0.09140955285024438,0.0828961110961467,0.08666666666666667,0.44262683,0.03210387345679011,0.11092073,0.06432844160904083,0.118,0.04416666666666669,0.6282597416382238,0.6283345,0.11675070536496218,0.11369021992844275,0.11799999999999988,0.6611382,0.04570888888888902,0.13330251,0.09064976522991386,0.16050000000000003,0.07350000000000001,0.9151331252071111,0.9204848,0.16237969755591347,0.15511016628905594,0.16049999999999986,0.9688605,0.067034737654321,0.18141526,0.12497719402868102,0.38833333333333336,0.10699999999999998,3.4441824937609047,3.511485,0.5637897547688677,0.3836080992769241,0.3883333333333332,3.7038517,0.17408797839506174,0.031014144,0.37858468355183444,0.11116666666666675,0.02100000000000002,0.6488938197781675,0.6534984,0.11830806862057208,0.11107076577060837,0.11116666666666652,0.6883434,0.035973734567901317,0.0065291524,0.11010628905796715,0.4936666666666667,0.0,0.38802830425088075,0.38802838,0.4155799011417134,0.486184546177276,0.4936666666666666,0.40845096,0.05758972222222225,0.27572775,0.4779128828643666,0.609,0.0,0.40772381238960187,0.40772367,0.8080287383061806,0.6070454804071926,0.6089999999999999,0.3926903,0.06877212962962953,0.36275238,0.60587555818852,0.10983333333333334,0.021333333333333315,0.6427367669075796,0.6473017,0.11721431945350674,0.10980406824737865,0.10983333333333323,0.68180215,0.03560419753086419,0.0061556995,0.10895040152899393
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_adam,0.136,0.046499999999999986,0.6103938920694014,0.610394,0.15878753643145946,0.13585695549391702,0.13599999999999995,0.6424122,0.05985057098765445,0.13726962,0.13004654069161586,0.04266666666666663,0.011500000000000066,0.18464239576461372,0.18464243,0.04611755590948005,0.04261056253173434,0.04266666666666663,0.1943413,0.01680912037037041,0.0531075,0.037573557707662686,0.08899999999999997,0.032333333333333325,0.40441364795989543,0.4044137,0.09305598404633666,0.08907274777099805,0.08899999999999997,0.42565167,0.03701915123456789,0.095837474,0.07511879326980642,0.12916666666666665,0.04183333333333339,0.5568578342802517,0.55729425,0.14004461085642964,0.12814326349230776,0.1291666666666666,0.58656013,0.05168529320987636,0.12307829,0.10805291947926732,0.16383333333333333,0.0635,0.8211462812146944,0.82114613,0.1964976680137597,0.16199500044481951,0.16383333333333328,0.8642851,0.07626947530864192,0.13531059,0.13703488428546234,0.20316666666666666,0.09266666666666667,1.090896530058822,1.0910996,0.24627286714146177,0.2028476835304211,0.2031666666666666,1.1484047,0.10264479938271598,0.16850251,0.16936321943866794,0.48116666666666663,0.1808333333333334,3.300652952864633,3.301796,0.699834009562248,0.4782081837520059,0.4811666666666667,3.473041,0.24875637345679014,0.07482666,0.47921003743782875,0.15050000000000002,0.026499999999999968,0.6324342502459264,0.63243425,0.17760971218101743,0.15231380709540687,0.15049999999999997,0.6656678,0.05370456790123457,0.027006745,0.1540474638328987,0.5768333333333333,0.0,0.42519541288784524,0.4251957,0.6321963051656778,0.5711601614828693,0.5768333333333333,0.44590878,0.06878668209876537,0.28802538,0.5689296336633083,0.5908333333333333,0.0,0.3725509948853747,0.37255108,0.7907027922011071,0.5872437023130305,0.5908333333333333,0.35562384,0.05951503086419763,0.316894,0.5878126350878745,0.14850000000000002,0.025499999999999967,0.6211923363824012,0.62119246,0.17459571847338848,0.1501062900945616,0.14850000000000002,0.6538354,0.05268461419753079,0.026170313,0.15173233362408656
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_adam,0.18200000000000005,0.052166666666666583,1.1822631791079434,1.2067798,0.1721654854199768,0.17985217645018503,0.18200000000000005,1.2770178,0.06501203703703695,0.09541708,0.17327523181230287,0.039000000000000035,0.006833333333333247,0.15604449252824515,0.15456057,0.030295854753489032,0.0376867673676089,0.039000000000000035,0.16401005,0.011087037037037062,0.040555656,0.03453481379909862,0.07583333333333342,0.018166666666666664,0.38459836210562326,0.3847655,0.07051205822613607,0.07339644780523702,0.07583333333333331,0.40706158,0.024497391975308758,0.07414594,0.06363954586476583,0.10833333333333339,0.02733333333333332,0.6478963422704078,0.65564144,0.10389096991603544,0.1048539112759973,0.10833333333333339,0.6926067,0.037335802469135926,0.08863887,0.08756186628020313,0.15333333333333332,0.04966666666666664,1.004273186869622,1.0249902,0.1480966870686792,0.14973883689163936,0.15333333333333343,1.0834069,0.05596788580246925,0.10806605,0.12643395099306376,0.1886666666666667,0.0734999999999999,1.4112507503677234,1.4653522,0.19400643846834534,0.18499877122081426,0.18866666666666665,1.5514407,0.07891682098765429,0.13396081,0.15099312210485194,0.42533333333333334,0.10216666666666663,4.360579568470969,4.5913596,0.5956864535042353,0.41960939957243804,0.4253333333333334,4.875199,0.17636529320987648,0.03760034,0.41052338641840525,0.11816666666666675,0.01649999999999996,0.8295871640554782,0.8459617,0.1302341200257128,0.11720904933858567,0.11816666666666675,0.8933592,0.03738518518518508,0.004573047,0.11533498249327867,0.5198333333333334,0.0,0.44558591521570934,0.4455861,0.4380002921431251,0.514583246047641,0.5198333333333334,0.46805334,0.06238930555555555,0.30841812,0.5056589360536674,0.632,0.0,0.426590636657211,0.4265908,0.8220170945301869,0.631393988150481,0.632,0.41484928,0.07247475308641971,0.38573053,0.6326365931529242,0.1173333333333334,0.016166666666666663,0.8199868294538604,0.83611524,0.12857472940071493,0.11638489610792446,0.11733333333333329,0.8829899,0.03692543209876553,0.003931433,0.11449106919843155
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_adam,0.12516666666666665,0.03583333333333327,0.456941790366286,0.45694172,0.12493356425334037,0.12485175009002336,0.12516666666666665,0.4808731,0.045802716049382575,0.1347112,0.11893355314500742,0.028166666666666673,0.0034999999999999476,0.09051796437360049,0.090518,0.027697291320124134,0.02637620366116089,0.028166666666666673,0.095252514,0.008998086419752749,0.057118356,0.01939394467011646,0.06333333333333335,0.01866666666666661,0.22397231137890405,0.22397232,0.06111784483471869,0.05904192403305575,0.06333333333333335,0.23570645,0.021757499999999763,0.10962844,0.04535700956015132,0.09366666666666668,0.026499999999999968,0.33261238114194835,0.33261228,0.09345353762645334,0.0884322115769326,0.09366666666666668,0.35004115,0.03144984567901199,0.1404643,0.0691448357059824,0.11550000000000005,0.043333333333333335,0.4693304952252695,0.46933043,0.11999783534118971,0.11027867642869604,0.11550000000000005,0.49393535,0.045968888888888726,0.16702253,0.09123231261641795,0.16399999999999998,0.06716666666666671,0.6879988353151889,0.68799865,0.16413960807399688,0.1569710730669256,0.16400000000000003,0.72404706,0.06778691358024669,0.20512986,0.13221405873538117,0.37166666666666665,0.09066666666666667,1.7602167277237624,1.7614082,0.5100762799565117,0.3707261024333861,0.3716666666666667,1.8534023,0.16067216049382704,0.04123926,0.3726474746127845,0.10399999999999998,0.015666666666666607,0.35266824232603744,0.35266817,0.10052496332599806,0.10543114838301293,0.10400000000000009,0.37119532,0.033253086419752886,0.03619331,0.10477915788794501,0.49883333333333335,0.0,0.328642230805936,0.32864225,0.4215027524682169,0.49337687773890804,0.49883333333333335,0.3459375,0.04835256172839497,0.2260096,0.4916404357298803,0.6173333333333333,0.0,0.3921348310357524,0.3921348,0.8122576723291112,0.6136833305753794,0.6173333333333333,0.3762344,0.06204168209876526,0.327124,0.6166658834309615,0.10333333333333339,0.014833333333333365,0.34824628422959614,0.34824622,0.09937913560832543,0.10490260432364051,0.10333333333333339,0.36654127,0.0328188580246912,0.035556495,0.1043792403475321
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_adam,0.15200000000000002,0.041166666666666685,0.4879037010553644,0.48790377,0.16846859965428407,0.1532131139069981,0.15199999999999997,0.51305056,0.057471604938271525,0.15426588,0.14963935505070358,0.024333333333333318,0.0050000000000000044,0.06952850569113811,0.06952852,0.022570660379452157,0.02425834608008548,0.024333333333333318,0.073055506,0.008531234567901058,0.054809034,0.024430435321317945,0.0551666666666667,0.011666666666666714,0.18093648453682198,0.1809364,0.056120932267597734,0.05413751919273191,0.0551666666666667,0.190202,0.021163796296296056,0.099069834,0.05088375222001884,0.08433333333333337,0.022499999999999964,0.2759905357019108,0.27599043,0.08479506780346807,0.08242543120046053,0.08433333333333326,0.2901764,0.03197564814814824,0.12937522,0.07735682323025295,0.1206666666666667,0.03849999999999998,0.4001734850727121,0.4001735,0.12253936068252103,0.11851998302895972,0.1206666666666667,0.42077518,0.04663955246913598,0.15503383,0.11224671209929526,0.15583333333333338,0.06500000000000006,0.566168335268256,0.56616825,0.15928698376110217,0.15300182470683216,0.15583333333333338,0.59532106,0.06786080246913573,0.19099379,0.1411572537807123,0.42683333333333334,0.12683333333333335,1.7410587671694686,1.7410586,0.5945496870403443,0.4278859034445347,0.42683333333333334,1.8295788,0.19136981481481496,0.037224293,0.42938126566154916,0.12283333333333335,0.019333333333333313,0.3470304267091826,0.34703046,0.11965340216468678,0.12540102840255662,0.12283333333333335,0.36506236,0.03795070987654314,0.04592979,0.12689035667551996,0.551,0.0,0.34674293553205193,0.3467428,0.5233255061358046,0.5468983015547435,0.551,0.36493003,0.052369907407407434,0.22119892,0.5420355716879195,0.6193333333333334,0.0001666666666666483,0.38541806784690347,0.385418,0.8090829274689372,0.6174335958218398,0.6193333333333334,0.36920428,0.05877929012345662,0.3013165,0.6175913222605063,0.1213333333333334,0.01966666666666672,0.34237399410480096,0.3423739,0.11816410358333784,0.12387715229752894,0.1213333333333334,0.36016428,0.037436759259259156,0.04534477,0.12536645774911814
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_adam,0.1456666666666666,0.02983333333333338,0.45232969693336733,0.45232975,0.15758246645189436,0.1461265878760627,0.14566666666666672,0.4758209,0.05072271604938283,0.17350191,0.1408585970888664,0.025499999999999967,0.00649999999999995,0.08579975237424697,0.08579981,0.025684898964714348,0.02440439438934483,0.025500000000000078,0.09022617,0.008854999999999946,0.06836885,0.021380479892403215,0.059833333333333294,0.01883333333333337,0.217278247175274,0.21727836,0.06033243157227028,0.05739593929515541,0.059833333333333405,0.2285372,0.022435864197531075,0.12695032,0.04954776562939556,0.09633333333333327,0.030000000000000027,0.3213156286476643,0.32131565,0.09139186781565659,0.09160156956641341,0.09633333333333349,0.33799756,0.03264345679012337,0.16072613,0.07884119185555416,0.13083333333333325,0.04400000000000004,0.4608046224478416,0.46080458,0.12485949639240448,0.12545859736171072,0.13083333333333347,0.48473263,0.04950515432098768,0.19243723,0.10941453130138667,0.17999999999999994,0.07250000000000001,0.6600257518187725,0.66002595,0.1689558307321696,0.17266458237308274,0.18000000000000016,0.6943604,0.0722806944444444,0.2308268,0.15008313869705903,0.3421666666666666,0.07666666666666666,1.2613691448355286,1.2613691,0.424181908539089,0.3436538496607339,0.3421666666666667,1.3268274,0.1419329629629631,0.08748275,0.34759828743966964,0.08883333333333332,0.013666666666666605,0.2527591083034534,0.2527591,0.07807135854128247,0.09055731148883184,0.08883333333333343,0.26599157,0.027238996913580227,0.042683303,0.09178305468371573,0.46749999999999997,0.0,0.2771250566808686,0.27712524,0.3469239641191686,0.4622639385709112,0.4675000000000001,0.29170966,0.0378994444444446,0.1726529,0.46007070295632313,0.6463333333333333,0.0,0.40268899376843315,0.40268898,0.8352680927894777,0.6431043024213582,0.6463333333333334,0.387156,0.059844969135802506,0.3309185,0.645136815594179,0.08666666666666667,0.014000000000000012,0.2494862721749126,0.24948633,0.07688612610177467,0.08840579207212407,0.08666666666666667,0.2625475,0.026862006172839625,0.042086124,0.08965963884265404
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_sgd,0.14450000000000007,0.04749999999999999,0.41867082345934326,0.4186709,0.14533081219024735,0.14332090115407192,0.14450000000000013,0.43980038,0.05382044753086401,0.1664846,0.14075285597829473,0.03316666666666668,0.010166666666666657,0.08471710774445773,0.084717155,0.02801705296143786,0.032806858496614355,0.03316666666666668,0.08895266,0.009247145061728523,0.05487442,0.02833294002711928,0.0621666666666667,0.018500000000000072,0.18392741353583575,0.18392742,0.05483870394099016,0.06280954114173554,0.0621666666666667,0.19320726,0.01978896604938285,0.09759557,0.053909379629112464,0.08383333333333343,0.03066666666666673,0.26776019136047546,0.26776016,0.07655523377821583,0.08412251757576883,0.08383333333333343,0.2813232,0.02960552469135802,0.12258029,0.07115163744070219,0.11066666666666669,0.04300000000000004,0.36776681467849826,0.36776686,0.10886555287771116,0.11217320929889696,0.1106666666666668,0.3865385,0.04216445987654327,0.14248812,0.09477827568961061,0.14550000000000007,0.0655,0.5052299985172948,0.50523007,0.14443790147413804,0.14705282407461207,0.14550000000000002,0.5309875,0.06093962962962973,0.17325938,0.12396656947973028,0.3723333333333334,0.10766666666666669,1.4061041542781973,1.4061041,0.5205838368657952,0.37055385799764534,0.3723333333333334,1.476849,0.1714327932098766,0.046861053,0.3701311320390799,0.10016666666666674,0.01866666666666672,0.2742467113752858,0.2742467,0.10401805940500208,0.10014742877249372,0.10016666666666685,0.28839195,0.0330858796296295,0.041868806,0.10032064768520688,0.49950000000000006,0.0,0.2753915308331607,0.27539146,0.43605456210377513,0.4972731046033519,0.49950000000000006,0.28986418,0.04183015432098769,0.16107309,0.49632280183433386,0.5908333333333334,0.0,0.3392924883906763,0.3392924,0.7733320000271283,0.5940734469310937,0.5908333333333334,0.32069767,0.05238663580246905,0.26521754,0.6048191040540738,0.09900000000000009,0.018333333333333313,0.27126163212947785,0.27126157,0.10301952617368265,0.09902666309700159,0.09900000000000009,0.28525352,0.03269702160493837,0.04131925,0.09927485134568892
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_sgd,0.1418333333333333,0.04066666666666674,0.3933667220195447,0.3933667,0.16510608437042718,0.14071672109007616,0.14183333333333337,0.41286445,0.05632509259259266,0.17916751,0.14074343472295636,0.03416666666666668,0.009666666666666712,0.10262478855285884,0.102624774,0.03758453614780932,0.034222035146603824,0.03416666666666679,0.10775542,0.013864135802469257,0.06508398,0.03578979758180778,0.0738333333333333,0.025666666666666726,0.2204654586194168,0.22046542,0.0737852882717327,0.07411442286318037,0.0738333333333332,0.2315712,0.0299035339506174,0.11283982,0.07397091432845204,0.10383333333333333,0.03966666666666674,0.31834185817484073,0.31834185,0.1040584030301892,0.10301213674255383,0.10383333333333333,0.33447623,0.04417518518518526,0.13668263,0.10211174950319146,0.12833333333333335,0.054500000000000104,0.43033514439153886,0.43033504,0.13815588416744967,0.12806798864519764,0.1283333333333333,0.45222986,0.06110341049382717,0.1498555,0.12712095014277802,0.17099999999999999,0.07716666666666672,0.5926930836338906,0.5926931,0.18471674780972813,0.1706033987596896,0.17100000000000004,0.6228597,0.08740388888888906,0.18326128,0.16645289049937606,0.4723333333333333,0.22116666666666673,2.035389028189104,2.035389,0.6733794384946268,0.4722785249809488,0.4723333333333333,2.1332335,0.27176273148148156,0.002851963,0.4745754462643367,0.14983333333333332,0.03333333333333344,0.43524268287891,0.43524253,0.17361179262468873,0.1513105767056413,0.14983333333333326,0.45747852,0.058735972222222266,0.05459428,0.15311168619494392,0.5615,0.0,0.34444684541991344,0.34444678,0.6203365873723103,0.5586392078885436,0.5615,0.35737062,0.054679814814814875,0.21342862,0.5584003208943068,0.5741666666666667,0.0,0.32852258000377255,0.32852244,0.7618178530450945,0.571840675905729,0.5741666666666667,0.3093394,0.05048549382716061,0.25600576,0.5725410986501096,0.14750000000000002,0.032500000000000084,0.4258645960016756,0.42586458,0.17051379502845887,0.14891452450069925,0.14750000000000002,0.4476254,0.05734445987654324,0.05297661,0.1506456530628974
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_sgd,0.13333333333333336,0.05349999999999999,0.5702397478262491,0.57023966,0.1533274800057359,0.1344734652786791,0.13333333333333341,0.60018206,0.058519413580246926,0.12041873,0.1261781389575936,0.030000000000000027,0.010499999999999954,0.11784215152192146,0.1178422,0.03862038490828382,0.028688439621984974,0.030000000000000138,0.12401676,0.013139876543209916,0.056500852,0.026247672496663488,0.06916666666666671,0.022499999999999964,0.25582595162220856,0.255826,0.06838409734502224,0.06721400075117667,0.06916666666666682,0.26923144,0.027010154320987745,0.09445709,0.059381123327703844,0.09550000000000003,0.03599999999999992,0.36315048335355815,0.36315048,0.10445097855331323,0.0935476762604025,0.09550000000000014,0.38218617,0.03851398148148155,0.13277602,0.08199695743553348,0.13016666666666665,0.059833333333333294,0.5520843556089619,0.55208445,0.1434259478531054,0.1287781529962983,0.13016666666666676,0.58103275,0.05896941358024699,0.1495344,0.11914391085641962,0.1731666666666667,0.08883333333333332,0.7745576449961016,0.7745576,0.19041254157404583,0.1718599954269765,0.17316666666666675,0.81516516,0.08375848765432092,0.18087488,0.16028865020384886,0.4458333333333333,0.16066666666666662,2.8114842138465828,2.811483,0.6531336376593112,0.4446156432767427,0.44583333333333347,2.9576879,0.23675697530864193,0.06897849,0.4460193819686451,0.12633333333333335,0.027166666666666672,0.5174807184442589,0.5174806,0.15279255071631018,0.12679354311208152,0.1263333333333334,0.54466486,0.0471597222222222,0.023444712,0.12303225587942468,0.5415,0.0,0.3753853521476289,0.37538517,0.5559023228207154,0.5395784138691252,0.5415000000000001,0.39511156,0.06149950617283939,0.2539534,0.5455377242909832,0.585,0.0,0.3619463122528439,0.36194646,0.7813550038022383,0.5829420389296689,0.5850000000000001,0.34442115,0.05948472222222223,0.3128664,0.5915699364693673,0.12583333333333335,0.026666666666666616,0.5115254181210185,0.5115254,0.15149972858906932,0.12629736811160086,0.12583333333333346,0.5383971,0.046541975308642125,0.02253455,0.12249726438151898
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_sgd,0.15749999999999997,0.041166666666666685,0.515228916757156,0.51522887,0.15802964947113174,0.15740922768643817,0.15749999999999997,0.5420314,0.05419467592592597,0.15723193,0.15391509079567456,0.029166666666666674,0.0076666666666667105,0.10575647033316282,0.10575664,0.028975431590875733,0.02908764611016179,0.029166666666666785,0.111237764,0.01077180555555568,0.0642311,0.027697783477942384,0.07883333333333331,0.020666666666666722,0.2642342984420676,0.26423442,0.07102035723625197,0.07717934230413037,0.07883333333333331,0.2779956,0.026684567901234524,0.10828507,0.06921723981917516,0.10783333333333334,0.027000000000000024,0.3686908668544997,0.36869097,0.09996822783952922,0.10485874286368302,0.10783333333333334,0.38791442,0.03759032407407403,0.13884664,0.0922762653624225,0.1426666666666666,0.04566666666666663,0.5491009250181438,0.549101,0.14986332439512107,0.13945927779994705,0.14266666666666672,0.5777774,0.0572898302469137,0.15747792,0.12145637346895055,0.1843333333333333,0.07216666666666671,0.7665904479753265,0.7665905,0.19881138361870415,0.18132477838272026,0.1843333333333333,0.80662334,0.0810102623456791,0.18799949,0.15692282448537698,0.4541666666666666,0.13650000000000007,2.112508501067023,2.1125083,0.628691087759973,0.4525618029371482,0.45416666666666666,2.221816,0.20216371913580256,0.01628679,0.45354728562034785,0.12716666666666665,0.01849999999999996,0.40504950894437,0.40504956,0.12535683878453263,0.1288468606401283,0.12716666666666665,0.4262675,0.0396950771604937,0.046411872,0.12954529774527246,0.5718333333333333,0.0,0.3800001334631842,0.38000023,0.5491930908155032,0.5660535157151979,0.5718333333333333,0.39996862,0.05870996913580262,0.25085276,0.5625870949491614,0.6368333333333334,0.0,0.40622090465473715,0.4062209,0.8307309602307805,0.6332290174095165,0.6368333333333334,0.39097106,0.062270864197530806,0.3284132,0.6335154798582397,0.12516666666666665,0.017833333333333368,0.3992322973467277,0.3992324,0.12364649574365982,0.12681776659621846,0.12516666666666665,0.420146,0.03908816358024714,0.045738816,0.12750170045486653
