model_name,test_101_accuracy_proportional_gap,test_101_top5_accuracy_proportional_gap,test_101_log_loss_proportional_gap,test_101_cross_entropy_loss_proportional_gap,test_101_uncertainty_rejection_auc_proportional_gap,test_101_f1_score_proportional_gap,test_101_recall_proportional_gap,test_101_cvar_risk_proportional_gap,test_101_roc_auc_proportional_gap,test_101_entropy_proportional_gap,test_101_precision_proportional_gap,test_10c1_accuracy_proportional_gap,test_10c1_top5_accuracy_proportional_gap,test_10c1_log_loss_proportional_gap,test_10c1_cross_entropy_loss_proportional_gap,test_10c1_uncertainty_rejection_auc_proportional_gap,test_10c1_f1_score_proportional_gap,test_10c1_recall_proportional_gap,test_10c1_cvar_risk_proportional_gap,test_10c1_roc_auc_proportional_gap,test_10c1_entropy_proportional_gap,test_10c1_precision_proportional_gap,test_10c2_accuracy_proportional_gap,test_10c2_top5_accuracy_proportional_gap,test_10c2_log_loss_proportional_gap,test_10c2_cross_entropy_loss_proportional_gap,test_10c2_uncertainty_rejection_auc_proportional_gap,test_10c2_f1_score_proportional_gap,test_10c2_recall_proportional_gap,test_10c2_cvar_risk_proportional_gap,test_10c2_roc_auc_proportional_gap,test_10c2_entropy_proportional_gap,test_10c2_precision_proportional_gap,test_10c3_accuracy_proportional_gap,test_10c3_top5_accuracy_proportional_gap,test_10c3_log_loss_proportional_gap,test_10c3_cross_entropy_loss_proportional_gap,test_10c3_uncertainty_rejection_auc_proportional_gap,test_10c3_f1_score_proportional_gap,test_10c3_recall_proportional_gap,test_10c3_cvar_risk_proportional_gap,test_10c3_roc_auc_proportional_gap,test_10c3_entropy_proportional_gap,test_10c3_precision_proportional_gap,test_10c4_accuracy_proportional_gap,test_10c4_top5_accuracy_proportional_gap,test_10c4_log_loss_proportional_gap,test_10c4_cross_entropy_loss_proportional_gap,test_10c4_uncertainty_rejection_auc_proportional_gap,test_10c4_f1_score_proportional_gap,test_10c4_recall_proportional_gap,test_10c4_cvar_risk_proportional_gap,test_10c4_roc_auc_proportional_gap,test_10c4_entropy_proportional_gap,test_10c4_precision_proportional_gap,test_10c5_accuracy_proportional_gap,test_10c5_top5_accuracy_proportional_gap,test_10c5_log_loss_proportional_gap,test_10c5_cross_entropy_loss_proportional_gap,test_10c5_uncertainty_rejection_auc_proportional_gap,test_10c5_f1_score_proportional_gap,test_10c5_recall_proportional_gap,test_10c5_cvar_risk_proportional_gap,test_10c5_roc_auc_proportional_gap,test_10c5_entropy_proportional_gap,test_10c5_precision_proportional_gap,fgsm_accuracy_proportional_gap,fgsm_top5_accuracy_proportional_gap,fgsm_log_loss_proportional_gap,fgsm_cross_entropy_loss_proportional_gap,fgsm_uncertainty_rejection_auc_proportional_gap,fgsm_f1_score_proportional_gap,fgsm_recall_proportional_gap,fgsm_cvar_risk_proportional_gap,fgsm_roc_auc_proportional_gap,fgsm_entropy_proportional_gap,fgsm_precision_proportional_gap,pgd_accuracy_proportional_gap,pgd_top5_accuracy_proportional_gap,pgd_log_loss_proportional_gap,pgd_cross_entropy_loss_proportional_gap,pgd_uncertainty_rejection_auc_proportional_gap,pgd_f1_score_proportional_gap,pgd_recall_proportional_gap,pgd_cvar_risk_proportional_gap,pgd_roc_auc_proportional_gap,pgd_entropy_proportional_gap,pgd_precision_proportional_gap,cw_accuracy_proportional_gap,cw_top5_accuracy_proportional_gap,cw_log_loss_proportional_gap,cw_cross_entropy_loss_proportional_gap,cw_uncertainty_rejection_auc_proportional_gap,cw_f1_score_proportional_gap,cw_recall_proportional_gap,cw_cvar_risk_proportional_gap,cw_roc_auc_proportional_gap,cw_entropy_proportional_gap,cw_precision_proportional_gap,deepfool_accuracy_proportional_gap,deepfool_top5_accuracy_proportional_gap,deepfool_log_loss_proportional_gap,deepfool_cross_entropy_loss_proportional_gap,deepfool_uncertainty_rejection_auc_proportional_gap,deepfool_f1_score_proportional_gap,deepfool_recall_proportional_gap,deepfool_cvar_risk_proportional_gap,deepfool_roc_auc_proportional_gap,deepfool_entropy_proportional_gap,deepfool_precision_proportional_gap,bim_accuracy_proportional_gap,bim_top5_accuracy_proportional_gap,bim_log_loss_proportional_gap,bim_cross_entropy_loss_proportional_gap,bim_uncertainty_rejection_auc_proportional_gap,bim_f1_score_proportional_gap,bim_recall_proportional_gap,bim_cvar_risk_proportional_gap,bim_roc_auc_proportional_gap,bim_entropy_proportional_gap,bim_precision_proportional_gap
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_adam,0.20572171651495452,0.05967042497831745,0.5418007176897727,0.54017794,0.9057059761873071,0.20567467256467808,0.20572171651495422,0.53985184,0.06304120436334129,0.2566647,0.19828914438295944,0.04681404421326402,0.009366869037294024,0.06316616465751117,0.06269155,0.15971200581587627,0.04422307849436554,0.04681404421326385,0.062717274,0.0096423572755,0.106288135,0.03439466100143918,0.08426527958387524,0.01803989592367734,0.16024745359804796,0.1589355,0.3369074924118259,0.0797557263168271,0.08426527958387507,0.15877682,0.023126716599900086,0.20928733,0.05905711936401113,0.1352405721716515,0.03191673894189067,0.2672521636866714,0.2662799,0.543153367031871,0.12955059704407704,0.13524057217165153,0.26605248,0.034474198014138126,0.2823436,0.10044815510242742,0.18413524057217162,0.04596704249783177,0.39898022573880504,0.39764315,0.6937298864836926,0.17767583635762163,0.18413524057217148,0.39739448,0.049083712240602366,0.33931538,0.14154861286944811,0.2504551365409623,0.07649609713790113,0.5811609381879533,0.5825312,0.9648562619008095,0.24240720565343066,0.25045513654096213,0.5823591,0.07198411191195632,0.46178415,0.19515051594681868,0.6059817945383615,0.11136166522116217,2.1872493457294624,2.2222524,3.3500251784675994,0.5995053041104501,0.6059817945383613,2.2262974,0.18694141213676524,0.07894507,0.591155825660069,0.17347204161248386,0.021856027753686055,0.41208402438857994,0.41356817,0.7029837015347524,0.17358213587409185,0.17347204161248356,0.4137469,0.038629782492479114,0.016619656,0.17192976115082825,0.7703511053315995,0.0,0.24641976902637655,0.24556477,2.4693657887780627,0.7598124616221898,0.7703511053315995,0.24551019,0.06184174287069364,0.70185226,0.7462557180409194,0.9503250975292588,0.0,0.2589275230052276,0.25802898,4.801287351099249,0.9486947382663887,0.9503250975292586,0.23603682,0.07384978070938589,0.9233694,0.9460680302433598,0.17139141742522757,0.022202948829141353,0.40817394996969814,0.40964654,0.696484670260055,0.171602532509848,0.17139141742522743,0.4098151,0.03823296143580748,0.01566905,0.1701248554685655
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_adam,0.21760000000000002,0.048563968668407294,0.5074423492050241,0.5074425,0.8984202232469899,0.21862550717852464,0.21759999999999993,0.50736743,0.06428160839858262,0.20961362,0.20881717895710608,0.06826666666666661,0.012010443864229833,0.15349985032121893,0.1534999,0.2609332306990298,0.06857032686176875,0.06826666666666661,0.15348783,0.01805358370592104,0.081096284,0.060332280137321524,0.14239999999999994,0.033768494342906866,0.33620357975012294,0.33620366,0.5265109582291773,0.14333881240324994,0.14239999999999994,0.33617327,0.03975986433611898,0.14634585,0.1206190830901072,0.20666666666666664,0.0436901653611837,0.4629359029828964,0.46329874,0.7923727099606523,0.20621237882643034,0.20666666666666655,0.46325633,0.055511814227612255,0.18794316,0.1735017763928464,0.26213333333333333,0.06631853785900783,0.682648374098044,0.6826483,1.1117842289885087,0.2606877138080704,0.2621333333333332,0.68259937,0.08191608640737588,0.20662215,0.2200384401078386,0.32506666666666667,0.0967798085291558,0.906901437162018,0.90707034,1.3934124128968624,0.3264292029112402,0.32506666666666656,0.90699273,0.11024410777019734,0.2573069,0.2719484079637345,0.7698666666666666,0.1888598781549174,2.7439512584796555,2.7449017,3.959662333939845,0.7695484292991134,0.7698666666666667,2.7429554,0.2671730531777108,0.114261895,0.7694728949614263,0.24080000000000004,0.02767624020887725,0.5257652899744647,0.52576536,1.0049161341915573,0.24510841719853116,0.24079999999999996,0.52573436,0.05768058593383092,0.041239873,0.2473557285876855,0.9229333333333333,0.0,0.35348020678174863,0.35348046,3.576968056734338,0.9191298268858334,0.9229333333333333,0.35217202,0.07387930455371444,0.4398209,0.9135366499935746,0.9453333333333334,0.0,0.30971501271478774,0.30971512,4.47379810189305,0.9450119928628117,0.9453333333333334,0.28086635,0.06392122655991123,0.48390386,0.943857295715873,0.23760000000000003,0.026631853785900748,0.5164194835131197,0.51641965,0.9878629512999526,0.24155600781205244,0.23760000000000003,0.51638937,0.0565851199510637,0.039962623,0.24363829822351363
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_adam,0.27534039334341914,0.05416161965738009,0.671182541899288,0.679904,1.0912958047365593,0.27191569688962286,0.27534039334341914,0.6841009,0.06941970973795492,0.3254676,0.2603539125732969,0.059001512859304134,0.0070946530541615305,0.08858800730266975,0.087079965,0.19203465266421216,0.056978035042677566,0.059001512859304134,0.0878605,0.01183871369122919,0.1383353,0.05189012762265547,0.1147251638930914,0.018861394704966256,0.21834030768269969,0.21677823,0.4469508690305336,0.11096694323135796,0.11472516389309123,0.21806367,0.02615826111238474,0.25291175,0.0956213105992402,0.16389309127584475,0.028378612216646466,0.36781718451251877,0.3693907,0.6585279235429512,0.15852699099314213,0.16389309127584475,0.37103075,0.039867087517415904,0.30234712,0.13156568448839367,0.23197175995965705,0.05156601488146735,0.5701358565806346,0.5774831,0.9387322487964815,0.2263878090800263,0.23197175995965721,0.5803832,0.0597623850001963,0.3686132,0.1899727588233843,0.28542612203731726,0.07631078041183585,0.8011810590293315,0.8255846,1.2297378413328626,0.2796967531508561,0.28542612203731715,0.83110976,0.08426720736783111,0.45694023,0.22687402983387356,0.6434694906707009,0.1060737151756359,2.475544304043006,2.5867882,3.7758446535425167,0.6344008983276239,0.643469490670701,2.6116533,0.18832247104492428,0.12825473,0.6168300497364129,0.17876954109934454,0.017130991521024357,0.4709648674992186,0.47661778,0.8255077867141825,0.1772065312843142,0.17876954109934454,0.47857425,0.03991981827267975,0.01559866,0.1732960541136368,0.786434694906707,0.0,0.25296354694447837,0.25104478,2.7763281364042647,0.77799037364179,0.786434694906707,0.25073707,0.06661916284751812,1.052014,0.7597755377515842,0.9561270801815431,0.0,0.2421797387600792,0.24034277,5.210474123162667,0.954594710436598,0.9561270801815431,0.22223556,0.07738838147346434,1.3157265,0.9505652397154093,0.17750882501260726,0.016784910884236025,0.46551466225315874,0.47107026,0.8149894994798863,0.17596050688537598,0.1775088250126071,0.4730194,0.039428894941171286,0.013410115,0.1720280360253732
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_adam,0.19281129653401793,0.03717793532768453,0.4346341098847679,0.43463403,0.8145638447665677,0.19321549964151202,0.19281129653401793,0.43453774,0.0487375883208026,0.18433225,0.18275532078632678,0.043388960205391534,0.0036313332180528592,0.0860989204829879,0.086098954,0.18058567561228267,0.040818741950856434,0.043388960205391534,0.08607429,0.009574651230902837,0.078157976,0.02980106526522444,0.09756097560975613,0.019367110496282147,0.21303808985597741,0.2130381,0.3984868835684713,0.09137088461809746,0.09756097560975613,0.21299455,0.023151641853434265,0.15001021,0.06969635239912034,0.14428754813863928,0.027494380079543457,0.31637440317813864,0.3163743,0.6093148256114497,0.13685410041846324,0.14428754813863928,0.3163123,0.033465037964208695,0.19220452,0.10624913067852065,0.17792041078305526,0.044959363652083695,0.4464180040755205,0.44641793,0.7823830105493174,0.17066280248864354,0.17792041078305526,0.44634134,0.04891440891443765,0.2285455,0.14018912340038683,0.2526315789473684,0.06968701366072977,0.654411059993599,0.6544109,1.0701863108628764,0.24292205988319474,0.2526315789473685,0.65428025,0.07213045366239632,0.28068972,0.20316237157387187,0.5725288831835686,0.09406882241051358,1.6742837857864337,1.6754171,3.325685120798075,0.5737206651902661,0.5725288831835688,1.6748145,0.17096745102013716,0.0564298,0.5726164481106553,0.16020539152759947,0.016254539166522503,0.33545114677546095,0.33545107,0.6554203516982735,0.16316096488766826,0.16020539152759963,0.33542815,0.03538382384517642,0.049525164,0.1610054362723494,0.768421052631579,0.0,0.3125980736898285,0.31259808,2.7481878443328065,0.7635300256116295,0.768421052631579,0.31260407,0.05145081888231116,0.30926055,0.7554630561974046,0.9509627727856225,0.0,0.3729909954294544,0.37299094,5.29590055697025,0.9497114077559418,0.9509627727856225,0.33998168,0.06601708854120432,0.44762057,0.9475792857798753,0.15917843388960215,0.015389936019367143,0.3312450665663081,0.331245,0.647949582440023,0.1623430115594966,0.15917843388960215,0.33122253,0.034921771666154934,0.048653778,0.1603909161772747
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_adam,0.2342064714946071,0.04249827942188577,0.4910614166903087,0.49106145,1.0617153290199846,0.2368420291092085,0.23420647149460702,0.49070233,0.06103302111684573,0.17315364,0.23106806874515465,0.0374935798664612,0.005161734342739165,0.06997849459062856,0.069978505,0.14224381374418932,0.03749937431549347,0.0374935798664612,0.06987324,0.00905990045161821,0.061519653,0.0377246581047317,0.08500256805341555,0.012044046799724756,0.18210750653341254,0.1821074,0.35368284766226227,0.08368761373995996,0.08500256805341555,0.18191689,0.022475280230155804,0.11119959,0.07857298203405647,0.1299435028248588,0.023227804542326185,0.27777674807906116,0.27777663,0.5343917115532434,0.12741602776619024,0.12994350282485864,0.27753645,0.03395712388312249,0.14521545,0.11945180959927439,0.18592706728299954,0.03974535443909151,0.4027634102316542,0.4027634,0.7722621183527655,0.18321221046135033,0.18592706728299954,0.40244642,0.04952972504920308,0.17401561,0.17332760475336992,0.24011299435028255,0.06710254645560915,0.5698325800780819,0.56983244,1.0038513569862095,0.23651541109577567,0.24011299435028255,0.56938916,0.07206601928993253,0.21437837,0.21797029270426216,0.657678479712378,0.13093599449415005,1.7523269097938345,1.7523266,3.7469446406638776,0.6614405452299971,0.657678479712378,1.7498833,0.20322867198966263,0.041781902,0.6630361363034881,0.18926553672316387,0.019958706125258067,0.3492764096805162,0.34927642,0.7540743587133537,0.19384916383379128,0.18926553672316387,0.34916043,0.040302449875589036,0.051553268,0.19593982912758068,0.8489984591679507,0.0,0.3489870578587891,0.34898692,3.2980787700006067,0.8454139476287281,0.8489984591679507,0.34903386,0.05561518019405572,0.24828172,0.8369931339163071,0.9542886492039035,0.00017205781142461973,0.38791249585841,0.3879124,5.098966503579474,0.9544497983599831,0.9542886492039035,0.35312194,0.06242174129626845,0.33820862,0.953663787578792,0.18695428864920402,0.02030282174810742,0.34458984061681663,0.34458974,0.7446885673163176,0.19149350445436716,0.18695428864920402,0.34447572,0.039756650625482816,0.05089662,0.1935866755620152
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_adam,0.2178464606181455,0.030729613733905627,0.48388026398269335,0.48388034,1.1212362353402945,0.21957442790825862,0.2178464606181456,0.4836042,0.053559435337698295,0.20364311,0.21087636651501715,0.03813559322033894,0.00669527896995703,0.09178439335283393,0.09178446,0.18275408469433777,0.036670814082326954,0.0381355932203391,0.09170206,0.00935022484706014,0.08024607,0.032008255138398944,0.08948155533399796,0.019399141630901322,0.23243367904795373,0.23243381,0.4292794113973905,0.08624495184736576,0.0894815553339981,0.23227552,0.023690612635236967,0.14900447,0.07417689087356702,0.1440677966101694,0.030901287553648096,0.3437277991382917,0.34372783,0.65027459029921,0.13764341264235178,0.14406779661016972,0.3435264,0.03446907518610361,0.1886479,0.11803144723728574,0.1956630109670986,0.04532188841201721,0.492946326244313,0.49294633,0.8884046228851352,0.1885180523426347,0.19566301096709887,0.49266168,0.05227378023598514,0.22586794,0.16380213406657407,0.2691924227318045,0.07467811158798285,0.7060633807390502,0.7060636,1.2021603916623589,0.2594512569248775,0.26919242273180477,0.70571846,0.07632306551747149,0.27092662,0.22468622872651584,0.5117148554336989,0.07896995708154506,1.349351234112207,1.3493513,3.0181538399452545,0.5163851324697032,0.5117148554336989,1.3485311,0.149870707725937,0.10268048,0.5203818962918934,0.13285144566301096,0.014077253218884056,0.2703893750047589,0.27038938,0.5554960403253517,0.13607427746095668,0.1328514456630111,0.27034256,0.028762365415059724,0.05009836,0.13740643084170634,0.6991525423728814,0.0,0.2964548790231457,0.2964551,2.468445432011652,0.6946123996299333,0.6991525423728814,0.29648134,0.040019009275462834,0.20264661,0.6887619228397639,0.9666001994017946,0.0,0.43077705914210274,0.43077707,5.94312852784951,0.9663488441218934,0.9666001994017946,0.39348894,0.06319185967082228,0.38840652,0.965820407055028,0.1296111665004985,0.014420600858369112,0.26688825442703196,0.26688832,0.5470628333296825,0.13284133640674006,0.1296111665004985,0.26684213,0.028364291085168768,0.049397435,0.1342275108011992
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_sgd,0.231756214915798,0.04940197607904315,0.38626979930205024,0.38626987,0.7643813151262355,0.2286537601432965,0.2317562149157981,0.3856294,0.05782299351195806,0.17243376,0.22001292066352907,0.05319433306602514,0.010573756283584666,0.07816083274090299,0.078160875,0.14735837133140578,0.05233996921130023,0.05319433306602514,0.07799621,0.009934841374216265,0.056835305,0.04428764761485477,0.09970596097300193,0.019240769630785307,0.1696932318464548,0.16969323,0.28842941153703455,0.10020616420415858,0.09970596097300193,0.16940959,0.02126064178165063,0.101083055,0.08426656767226819,0.1344560278000536,0.031894609117698106,0.24703817314829724,0.24703814,0.4026495785256192,0.13420882649727606,0.1344560278000536,0.24667212,0.03180724317026182,0.12696058,0.11121820196483555,0.17749264902432507,0.0447217888715549,0.33930526259758076,0.3393053,0.5725887939831787,0.17896082069677294,0.17749264902432524,0.3389279,0.04530016753350913,0.1475798,0.14814935800052262,0.23336006415396962,0.06812272490899636,0.4661301413749027,0.4661302,0.7596849657617493,0.2346076594104322,0.23336006415396954,0.46558484,0.06547161850845797,0.17945065,0.19377402203533034,0.5971665330125635,0.11197781244583119,1.2972854544366448,1.2972854,2.7380605107747518,0.5911805764860663,0.5971665330125635,1.2949429,0.18418199298374371,0.04853559,0.578557577552629,0.16065223202352322,0.0194141098977293,0.25302269999826255,0.25302267,0.5470929381499045,0.1597749244745316,0.1606522320235234,0.2528702,0.035546426886628665,0.04336495,0.1568127235974731,0.8011226944667201,0.0,0.2540789216345748,0.25407887,2.2934707005652157,0.7933481039409217,0.8011226944667201,0.25416112,0.044941000175065735,0.16682889,0.7758096875868502,0.9476075915530607,0.0,0.3130345704830007,0.3130345,4.067413663360827,0.9477830961728109,0.9476075915530607,0.28119677,0.056282551355270174,0.27469483,0.9454019005948687,0.1587810745789897,0.019067429363841197,0.25026863667077365,0.25026858,0.5418410570584121,0.15798685808730364,0.1587810745789897,0.25011835,0.03512865007371953,0.042795755,0.15517802350220786
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_sgd,0.23411279229711138,0.042530939515426254,0.35244894150108175,0.3524489,0.8231814119720917,0.23320669544654352,0.23411279229711146,0.35161316,0.060836210241660374,0.16640224,0.23276839324355247,0.05639614855570841,0.010109813491371845,0.09194981698383295,0.0919498,0.18738795515891593,0.05671541851011608,0.05639614855570859,0.09176917,0.014974524526727042,0.0604469,0.05919092207766455,0.12187070151306735,0.0268432978908838,0.1975327682246168,0.19753273,0.3678766776760402,0.12282818635168564,0.12187070151306717,0.19721602,0.032298529743165216,0.10480025,0.12233672504073008,0.17138927097661624,0.04148509674045676,0.28522812090758254,0.2852281,0.5188115475003953,0.17071972552032869,0.17138927097661624,0.28485438,0.047713207909464476,0.1269443,0.16887741804747347,0.21182943603851448,0.05699843123583765,0.38557192980848326,0.38557184,0.6888138389016519,0.2122442321926607,0.2118294360385144,0.38513845,0.06599722710040977,0.13917863,0.2102388603104189,0.2822558459422283,0.08070420080181284,0.5310414894511535,0.5310415,0.9209557228415506,0.2827372223321511,0.2822558459422284,0.53045416,0.09440412994691572,0.17020434,0.2752879517865364,0.7796423658872077,0.2313055603974203,1.8236690303775163,1.823669,3.357316837151439,0.7826967064608662,0.7796423658872077,1.8167536,0.2935284063861365,0.0026487673,0.7848761423027403,0.24731774415405774,0.03486142583231665,0.3899689889607413,0.38996884,0.8655889401819958,0.2507636569860488,0.24731774415405766,0.38960844,0.06344017897503394,0.05070456,0.25322361396509974,0.9268225584594223,0.0,0.3086176823712184,0.30861762,3.092857236838159,0.9258203474991971,0.9268225584594223,0.30435222,0.059059160969521504,0.19822232,0.9235098300471665,0.9477303988995874,0.0,0.29434984989854096,0.29434973,3.798250672145026,0.9476988471364953,0.9477303988995874,0.26344678,0.05452891376208947,0.23776595,0.9468965416469759,0.24346629986244844,0.03398989018650871,0.3815664052947488,0.38156638,0.8501430282686041,0.24679273290180825,0.24346629986244844,0.3812171,0.06193721939309572,0.049202148,0.24914516745736923
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_sgd,0.218281036834925,0.056020942408376954,0.4601013934656253,0.4601013,0.7926526653807462,0.22055579149501642,0.21828103683492506,0.46005833,0.06319037806564881,0.17223698,0.20295613314802263,0.04911323328785816,0.01099476439790571,0.09508165351662567,0.09508169,0.19965469356462595,0.04705316022362593,0.049113233287858334,0.095062725,0.014188689115327285,0.08081414,0.04221908928177238,0.1132332878581174,0.023560209424083732,0.20641471815099172,0.20641476,0.35352330207318683,0.11024061218695186,0.11323328785811755,0.20637432,0.029166079403961306,0.1351036,0.09551387643010817,0.15634379263301507,0.03769633507853395,0.2930101664530026,0.29301015,0.5399772209705243,0.15343162115570122,0.1563437926330152,0.29295766,0.0415881312154794,0.18991183,0.1318911940570934,0.21309686221009547,0.06265270506108199,0.4454526053200573,0.44545266,0.74146499927,0.21121466158772498,0.2130968622100956,0.4453798,0.06367629664189278,0.21388163,0.19164165548263848,0.2834924965893588,0.09301919720767887,0.6249565259886903,0.6249565,0.9843702420136516,0.28187506910135773,0.2834924965893589,0.6248496,0.09044401126517893,0.25870845,0.25782251110727267,0.7298772169167803,0.1682373472949389,2.268463062121668,2.268462,3.3764861896974265,0.7292334953274665,0.7298772169167804,2.2671602,0.2556546941284205,0.09866112,0.7174172152265629,0.20682128240109143,0.02844677137870856,0.41753245114078413,0.41753235,0.7898872568118604,0.207959616416433,0.2068212824010915,0.41750267,0.050923966840623044,0.033533376,0.19789601520559882,0.886493860845839,0.0,0.30288194442442573,0.30288178,2.873832256675086,0.8849860743746235,0.886493860845839,0.3028654,0.0664083388426878,0.36323392,0.8774913619995719,0.9577080491132333,0.0,0.29203857370886005,0.29203868,4.039348500016161,0.9561086458611318,0.9577080491132333,0.2640096,0.06423273673441454,0.44749817,0.951533663313859,0.20600272851296048,0.027923211169284416,0.4127273810142729,0.41272736,0.7832037914279493,0.20714581817211572,0.20600272851296061,0.4126982,0.05025691195012105,0.032231554,0.19703548733144383
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_sgd,0.23737754333082137,0.0424107142857143,0.526423224669751,0.5264232,1.0971457858156886,0.23839257002810232,0.23737754333082137,0.5261696,0.05739411343658318,0.20584323,0.2326924101295961,0.043958804320522495,0.007898351648351693,0.10805422663944685,0.10805441,0.20116650747825277,0.04405255533101657,0.04395880432052266,0.107982546,0.011407729992100999,0.08408938,0.0418741525565292,0.1188143682491836,0.021291208791208847,0.2699752807542525,0.26997542,0.49307004039841695,0.1168862971719254,0.1188143682491836,0.26986045,0.028259918358456218,0.1417635,0.10464423126270052,0.16252197940216026,0.027815934065934092,0.37670136268246607,0.3767015,0.694045201369873,0.15880609776565868,0.16252197940216026,0.37656265,0.0398095068780221,0.18177377,0.13950540180263912,0.2150213514192413,0.04704670329670326,0.5610311654022273,0.5610313,1.0404497849529972,0.21120779345426402,0.21502135141924147,0.5608695,0.06067199332362792,0.20616525,0.1836205671710826,0.277819643305702,0.07434752747252751,0.7832460533545849,0.78324616,1.3802794123725102,0.27461210860230284,0.277819643305702,0.78301865,0.08579278512432266,0.24612316,0.23723957179949332,0.6845013815624215,0.14062500000000006,2.1584066831367705,2.1584067,4.364787113203965,0.6853941975603349,0.6845013815624216,2.1567976,0.2140986587815553,0.021322167,0.6856833235334773,0.191660386837478,0.019059065934065894,0.41384996399550955,0.41385004,0.8703096403485409,0.1951355374745881,0.191660386837478,0.41379339,0.04203851619183515,0.060761,0.19584959081965936,0.8618437578497865,0.0,0.3882563441735373,0.38825646,3.812859720968961,0.8572747250472347,0.8618437578497865,0.38826412,0.062175971548278613,0.32840875,0.8505322405670648,0.9598090931926653,0.0,0.4150468104595958,0.41504684,5.767480819036547,0.9590104410990038,0.9598090931926653,0.37952983,0.0659470876517855,0.42994848,0.9577634207312189,0.1886460688269279,0.018372252747252783,0.40790636264042396,0.40790647,0.858435313816319,0.19206252230853976,0.1886460688269279,0.407851,0.041395772854491746,0.059879858,0.19276003295772012
