model_name,PAC_Bayes_Sigma,PAC_Bayes_Bound,PAC_Bayes_Flatness,PAC_Bayes_MAG_Sigma,PAC_Bayes_MAG_Bound,PAC_Bayes_MAG_Flatness,Sharpness_Sigma,Sharpness_Bound,Sharpness_Flatness,Sharpness_MAG_Sigma,Sharpness_MAG_Bound,Sharpness_MAG_Flatness
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_adam,0.07904052734375,34124523520.0,160.06646054769607,0.0625,21.11567054421404,256.0,0.03125,387.1533796028002,1024.0,0.03125,387.1533796028002,1024.0
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_adam,0.0079345703125,354645180416.0,15883.754792899408,0.0517578125,21.398251443902875,373.2915628337487,3.814697265625e-06,3171560.4857061394,68719476736.0,3.814697265625e-06,3171560.4857061394,68719476736.0
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_adam,0.078125,122563289088.0,163.84,0.078125,20.78150177870458,163.84,0.2816314697265625,42.958775609608,12.60775140027905,0.208038330078125,58.15535583295693,23.10538885465882
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_adam,0.078125,127326404608.0,163.84,0.0625,21.11567054421404,256.0,0.078125,154.8613518411201,163.84,0.0673828125,179.54939343897982,220.2428061331653
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_adam,0.0115966796875,572580167680.0,7435.885207756232,0.0625,21.11567054421404,256.0,0.0078125,1548.6135184112009,16384.0,0.010894775390625,1110.4903661436063,8424.874451741482
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_adam,0.067138671875,48789987328.0,221.84748429752065,0.0576171875,21.237542931371543,301.2283826486642,0.21875,55.307625657542886,20.897959183673468,0.1875,64.52556326713336,28.444444444444443
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_sgd,0.00732421875,416180928512.0,18641.35111111111,0.0625,21.11567054421404,256.0,3.814697265625e-06,3171560.4857061394,68719476736.0,3.814697265625e-06,3171560.4857061394,68719476736.0
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_sgd,0.0048828125,19568944742400.0,41943.04,0.0537109375,21.342740957783136,346.63669421487606,3.814697265625e-06,3171560.4857061394,68719476736.0,3.814697265625e-06,3171560.4857061394,68719476736.0
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_sgd,0.00732421875,1435396997120.0,18641.35111111111,0.0625,21.11567054421404,256.0,0.03125,387.1533796028002,1024.0,0.0234375,516.2045061370669,1820.4444444444443
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_sgd,0.01251220703125,4656500572160.0,6387.518286734087,0.0625,21.11567054421404,256.0,3.814697265625e-06,3171560.4857061394,68719476736.0,3.814697265625e-06,3171560.4857061394,68719476736.0
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_sgd,0.00762939453125,27247798910976.0,17179.869184,0.046875,21.546767710087757,455.1111111111111,3.814697265625e-06,3171560.4857061394,68719476736.0,3.814697265625e-06,3171560.4857061394,68719476736.0
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_sgd,0.009765625,3745619116032.0,10485.76,0.0625,21.11567054421404,256.0,0.03125,387.1533796028002,1024.0,0.03125,387.1533796028002,1024.0
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr001_adam,0.1171875,418493235200.0,72.81777777777778,0.12303543090820312,19.5919067726785,66.06015840471824,0.40625,34.80834122851155,6.059171597633136,0.279296875,50.63031451419862,12.819404371851924
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr0001_adam,0.01708984375,506386350080.0,3423.9216326530614,0.08983993530273438,20.061824692061705,123.89709937968566,0.0625,226.25421798532508,256.0,0.05859375,241.33783251768008,291.2711111111111
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lrscheduler_adam,0.0830078125,58003456000.0,145.13162629757787,0.09375,19.998099446649697,113.77777777777777,0.375,37.709036330887514,7.111111111111111,0.40625,34.80834122851155,6.059171597633136
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr001_adam,0.13671875,338642993152.0,53.498775510204084,0.09326171875,20.005909901144157,114.9722869438886,0.3671875,38.51135625282129,7.416930737890448,0.2265625,62.41495668560692,19.48156956004756
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr0001_adam,0.010986328125,457158262784.0,8285.044938271605,0.0703125,20.42866791932426,202.2716049382716,0.0078125,1810.0337438826007,16384.0,0.00830078125,1703.5611707130358,14513.162629757786
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lrscheduler_adam,0.087890625,54036627456.0,129.45382716049383,0.09375,19.998099446649697,113.77777777777777,0.34375,41.13713054278638,8.462809917355372,0.265625,53.23628658478237,14.173010380622838
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr001_sgd,0.00640869140625,1874806702080.0,24347.88716553288,0.0859375,20.128268401153974,135.40495867768595,0.001453399658203125,9729.525216460803,473401.786540462,0.00146484375,9653.513300707204,466033.77777777775
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr0001_sgd,0.00274658203125,15461899042816.0,132560.71901234568,0.0390625,21.309496051893003,655.36,3.814697265625e-06,3706949.107471566,68719476736.0,3.814697265625e-06,3706949.107471566,68719476736.0
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lrscheduler_sgd,0.0054931640625,739880861696.0,33140.17975308642,0.07421875,20.347707559168484,181.54016620498615,0.015625,905.0168719413003,4096.0,0.01171875,1206.6891625884004,7281.777777777777
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr001_sgd,0.00732421875,4110839971840.0,18641.35111111111,0.07861328125,20.26158874432717,161.81104124069287,3.814697265625e-06,3706949.107471566,68719476736.0,3.814697265625e-06,3706949.107471566,68719476736.0
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr0001_sgd,0.003662109375,49058261499904.0,74565.40444444444,0.0390625,21.309496171102293,655.36,3.814697265625e-06,3706949.107471566,68719476736.0,3.814697265625e-06,3706949.107471566,68719476736.0
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lrscheduler_sgd,0.008544921875,3301013979136.0,13695.686530612245,0.07781982421875,20.276774554254047,165.127539254133,0.038330078125,368.92407518626254,680.6448943161994,0.025390625,556.9334596561848,1551.1479289940828
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr001_adam,0.078125,180102168576.0,163.84,0.06640625,21.12679799377822,226.7681660899654,0.12499618530273438,93.52915101150968,64.00390642882121,0.140625,83.13448598074375,50.5679012345679
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr0001_adam,0.00732421875,4348672212992.0,18641.35111111111,0.0546875,21.417678518412046,334.3673469387755,3.0517578125e-05,383083.7113992672,1073741824.0,3.0517578125e-05,383083.7113992672,1073741824.0
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lrscheduler_adam,0.078125,37383004160.0,163.84,0.078125,20.88344086085027,163.84,0.34375,34.0095624466679,8.462809917355372,0.25,46.76314836416836,16.0
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr001_adam,0.078125,294205128704.0,163.84,0.0703125,21.041193263219217,202.2716049382716,0.0625,187.05259345667343,256.0,0.126953125,92.08743062482384,62.04591715976331
